notebook,package
amazon-sales-eda.ipynb,matplotlib
amazon-sales-eda.ipynb,numpy
day-3a-agent-sessions copy.ipynb,sqlite3
online-shoppers.ipynb,seaborn
online-shoppers.ipynb,pandas
online-shoppers.ipynb,ucimlrepo
online-shoppers.ipynb,scikit-learn
online-shoppers.ipynb,matplotlib
online-shoppers.ipynb,numpy
stresssense-ai.ipynb,seaborn
stresssense-ai.ipynb,pandas
stresssense-ai.ipynb,wordcloud
stresssense-ai.ipynb,scikit-learn
stresssense-ai.ipynb,matplotlib
stresssense-ai.ipynb,numpy
exercise-bar-charts-and-heatmaps copy.ipynb,seaborn
exercise-bar-charts-and-heatmaps copy.ipynb,pandas
exercise-bar-charts-and-heatmaps copy.ipynb,matplotlib
retail-sales-and-profitability-analysis-superstore.ipynb,seaborn
retail-sales-and-profitability-analysis-superstore.ipynb,pandas
retail-sales-and-profitability-analysis-superstore.ipynb,plotly
retail-sales-and-profitability-analysis-superstore.ipynb,matplotlib
retail-sales-and-profitability-analysis-superstore.ipynb,numpy
neural-network-from-scratch.ipynb,pandas
neural-network-from-scratch.ipynb,tensorflow
neural-network-from-scratch.ipynb,cupy
neural-network-from-scratch.ipynb,matplotlib
neural-network-from-scratch.ipynb,numpy
day-2b-agent-tools-best-practices.ipynb,mcp
day-2b-agent-tools-best-practices.ipynb,ipython
sleep-quality-and-screen-time.ipynb,seaborn
sleep-quality-and-screen-time.ipynb,pandas
sleep-quality-and-screen-time.ipynb,matplotlib
house-prices-prediction-advanced-regression.ipynb,seaborn
house-prices-prediction-advanced-regression.ipynb,pandas
house-prices-prediction-advanced-regression.ipynb,xgboost
house-prices-prediction-advanced-regression.ipynb,scikit-learn
house-prices-prediction-advanced-regression.ipynb,matplotlib
house-prices-prediction-advanced-regression.ipynb,numpy
coffenotebook.ipynb,seaborn
coffenotebook.ipynb,pandas
coffenotebook.ipynb,xgboost
coffenotebook.ipynb,scikit-learn
coffenotebook.ipynb,streamlit
coffenotebook.ipynb,joblib
coffenotebook.ipynb,matplotlib
coffenotebook.ipynb,numpy
optimization-final-project-starter-fall-2025.ipynb,tqdm
optimization-final-project-starter-fall-2025.ipynb,pytorch
optimization-final-project-starter-fall-2025.ipynb,torchinfo
optimization-final-project-starter-fall-2025.ipynb,matplotlib
optimization-final-project-starter-fall-2025.ipynb,numpy
new-cnn-prediction.ipynb,tqdm
new-cnn-prediction.ipynb,pytorch
new-cnn-prediction.ipynb,pandas
new-cnn-prediction.ipynb,matplotlib
new-cnn-prediction.ipynb,numpy
dl-ise2-mayank-ravariya-2022600049.ipynb,tqdm
dl-ise2-mayank-ravariya-2022600049.ipynb,pytorch
dl-ise2-mayank-ravariya-2022600049.ipynb,pillow
dl-ise2-mayank-ravariya-2022600049.ipynb,scikit-image
dl-ise2-mayank-ravariya-2022600049.ipynb,matplotlib
dl-ise2-mayank-ravariya-2022600049.ipynb,numpy
preprocessing.ipynb,huggingface
preprocessing.ipynb,pandas
preprocessing.ipynb,matplotlib
preprocessing.ipynb,numpy
busscheduling.ipynb,pandas
busscheduling.ipynb,pyomo
busscheduling.ipynb,networkx
busscheduling.ipynb,matplotlib
busscheduling.ipynb,numpy
xgboost-lengkap.ipynb,seaborn
xgboost-lengkap.ipynb,pandas
xgboost-lengkap.ipynb,xgboost
xgboost-lengkap.ipynb,scikit-learn
xgboost-lengkap.ipynb,imblearn
xgboost-lengkap.ipynb,matplotlib
xgboost-lengkap.ipynb,numpy
iwannadiee.ipynb,pytorch
iwannadiee.ipynb,gensim
iwannadiee.ipynb,pandas
iwannadiee.ipynb,seaborn
iwannadiee.ipynb,scikit-learn
iwannadiee.ipynb,matplotlib
iwannadiee.ipynb,numpy
physionet-x1.ipynb,pytorch
physionet-x1.ipynb,pandas
physionet-x1.ipynb,stage1_common
physionet-x1.ipynb,sample_list
physionet-x1.ipynb,stage1_model
physionet-x1.ipynb,stage2_model
physionet-x1.ipynb,stage0_model
physionet-x1.ipynb,stage0_common
physionet-x1.ipynb,opencv
physionet-x1.ipynb,stage2_common
physionet-x1.ipynb,cc3d
physionet-x1.ipynb,matplotlib
physionet-x1.ipynb,scipy
physionet-x1.ipynb,numpy
exercise-inconsistent-data-entry.ipynb,fuzzywuzzy
exercise-inconsistent-data-entry.ipynb,charset_normalizer
exercise-inconsistent-data-entry.ipynb,pandas
exercise-inconsistent-data-entry.ipynb,numpy
sva-lr2-submission.ipynb,tqdm
sva-lr2-submission.ipynb,pytorch
sva-lr2-submission.ipynb,audio
sva-lr2-submission.ipynb,pandas
sva-lr2-submission.ipynb,numpy
chain-of-thoughts-with-rag.ipynb,dotenv
chain-of-thoughts-with-rag.ipynb,pydantic
chain-of-thoughts-with-rag.ipynb,langchain
chain-of-thoughts-with-rag.ipynb,langchain_community
12s23041-lisbeth-e-panjaitan.ipynb,pandas
12s23041-lisbeth-e-panjaitan.ipynb,scikit-learn
12s23041-lisbeth-e-panjaitan.ipynb,numpy
movie-recommender-chatbot.ipynb,pandas
movie-recommender-chatbot.ipynb,faiss
movie-recommender-chatbot.ipynb,requests
movie-recommender-chatbot.ipynb,huggingface
movie-recommender-chatbot.ipynb,gradio
movie-recommender-chatbot.ipynb,groq
movie-recommender-chatbot.ipynb,nltk
movie-recommender-chatbot.ipynb,numpy
axcentra-week-1.ipynb,seaborn
axcentra-week-1.ipynb,pandas
axcentra-week-1.ipynb,matplotlib
axcentra-week-1.ipynb,numpy
day-5a-agent2agent-communication.ipynb,requests
cafa-6-multi-model-blend-v2.ipynb,pandas
cafa-6-multi-model-blend-v2.ipynb,numpy
house-price-prediction-using-ridge-and-xgboost.ipynb,seaborn
house-price-prediction-using-ridge-and-xgboost.ipynb,pandas
house-price-prediction-using-ridge-and-xgboost.ipynb,xgboost
house-price-prediction-using-ridge-and-xgboost.ipynb,scikit-learn
house-price-prediction-using-ridge-and-xgboost.ipynb,matplotlib
house-price-prediction-using-ridge-and-xgboost.ipynb,scipy
house-price-prediction-using-ridge-and-xgboost.ipynb,numpy
sentiment-analysis-with-imdb-tf.ipynb,tensorflow
sentiment-analysis-with-imdb-tf.ipynb,matplotlib
seminar-demo-segmentation.ipynb,tqdm
seminar-demo-segmentation.ipynb,pytorch
seminar-demo-segmentation.ipynb,pillow
seminar-demo-segmentation.ipynb,scikit-learn
seminar-demo-segmentation.ipynb,opencv
seminar-demo-segmentation.ipynb,matplotlib
seminar-demo-segmentation.ipynb,numpy
tabnet-lgbm-simple-model.ipynb,seaborn
tabnet-lgbm-simple-model.ipynb,pandas
tabnet-lgbm-simple-model.ipynb,pytorch
tabnet-lgbm-simple-model.ipynb,category_encoders
tabnet-lgbm-simple-model.ipynb,scikit-learn
tabnet-lgbm-simple-model.ipynb,lightgbm
tabnet-lgbm-simple-model.ipynb,matplotlib
tabnet-lgbm-simple-model.ipynb,numpy
ai-medleaf-disease-detection.ipynb,seaborn
ai-medleaf-disease-detection.ipynb,pandas
ai-medleaf-disease-detection.ipynb,pytorch
ai-medleaf-disease-detection.ipynb,pillow
ai-medleaf-disease-detection.ipynb,scikit-learn
ai-medleaf-disease-detection.ipynb,matplotlib
ai-medleaf-disease-detection.ipynb,numpy
exercise-indexing-selecting-assigning.ipynb,pandas
intelligent-customer-support-automationemail-agent.ipynb,pandas
intelligent-customer-support-automationemail-agent.ipynb,scikit-learn
intelligent-customer-support-automationemail-agent.ipynb,numpy
exercise-categorical-variables.ipynb,pandas
exercise-categorical-variables.ipynb,scikit-learn
day3b.ipynb,pandas
day3b.ipynb,numpy
guia-9-intro-al-aprendizaje-automatico-kaggle.ipynb,seaborn
guia-9-intro-al-aprendizaje-automatico-kaggle.ipynb,pandas
guia-9-intro-al-aprendizaje-automatico-kaggle.ipynb,scikit-learn
guia-9-intro-al-aprendizaje-automatico-kaggle.ipynb,matplotlib
transactions-dataset-cleaning.ipynb,pyspark
transactions-dataset-cleaning.ipynb,pandas
transactions-dataset-cleaning.ipynb,matplotlib
transactions-dataset-cleaning.ipynb,seaborn
convnext-models-predictions-notebook-25.ipynb,tqdm
convnext-models-predictions-notebook-25.ipynb,pytorch
convnext-models-predictions-notebook-25.ipynb,pandas
convnext-models-predictions-notebook-25.ipynb,pillow
projekt.ipynb,audio
projekt.ipynb,pandas
projekt.ipynb,matplotlib
exploration-of-king-khalid-airport-flights.ipynb,seaborn
exploration-of-king-khalid-airport-flights.ipynb,pandas
exploration-of-king-khalid-airport-flights.ipynb,plotly
exploration-of-king-khalid-airport-flights.ipynb,matplotlib
exploration-of-king-khalid-airport-flights.ipynb,numpy
clients-segmentation.ipynb,seaborn
clients-segmentation.ipynb,pandas
clients-segmentation.ipynb,scikit-learn
clients-segmentation.ipynb,matplotlib
clients-segmentation.ipynb,numpy
biomass-teacher-student-ensemble-clean.ipynb,pytorch
biomass-teacher-student-ensemble-clean.ipynb,pandas
biomass-teacher-student-ensemble-clean.ipynb,pillow
biomass-teacher-student-ensemble-clean.ipynb,numpy
the-ultimate-shopping-behavior-analysis.ipynb,seaborn
the-ultimate-shopping-behavior-analysis.ipynb,pandas
the-ultimate-shopping-behavior-analysis.ipynb,matplotlib
the-ultimate-shopping-behavior-analysis.ipynb,scipy
the-ultimate-shopping-behavior-analysis.ipynb,numpy
regressor-se-classifier-gini.ipynb,scikit-learn
regressor-se-classifier-gini.ipynb,numpy
tesis-ihsan-fix.ipynb,roboflow
tesis-ihsan-fix.ipynb,pytorch
tesis-ihsan-fix.ipynb,pandas
tesis-ihsan-fix.ipynb,scikit-learn
tesis-ihsan-fix.ipynb,opencv
tesis-ihsan-fix.ipynb,matplotlib
tesis-ihsan-fix.ipynb,numpy
credit-risk-analysis-for-loan-apporval.ipynb,seaborn
credit-risk-analysis-for-loan-apporval.ipynb,pandas
credit-risk-analysis-for-loan-apporval.ipynb,scikit-learn
credit-risk-analysis-for-loan-apporval.ipynb,matplotlib
credit-risk-analysis-for-loan-apporval.ipynb,numpy
healthclassifier-eda.ipynb,seaborn
healthclassifier-eda.ipynb,pandas
healthclassifier-eda.ipynb,statsmodels
healthclassifier-eda.ipynb,scikit-learn
healthclassifier-eda.ipynb,matplotlib
healthclassifier-eda.ipynb,numpy
ecg-vertical-scale-to-78-px.ipynb,tqdm
ecg-vertical-scale-to-78-px.ipynb,seaborn
ecg-vertical-scale-to-78-px.ipynb,pandas
ecg-vertical-scale-to-78-px.ipynb,pytorch
ecg-vertical-scale-to-78-px.ipynb,tabulate
ecg-vertical-scale-to-78-px.ipynb,stage1_common
ecg-vertical-scale-to-78-px.ipynb,stage1_model
ecg-vertical-scale-to-78-px.ipynb,stage2_model
ecg-vertical-scale-to-78-px.ipynb,stage0_model
ecg-vertical-scale-to-78-px.ipynb,stage0_common
ecg-vertical-scale-to-78-px.ipynb,opencv
ecg-vertical-scale-to-78-px.ipynb,stage2_common
ecg-vertical-scale-to-78-px.ipynb,cc3d
ecg-vertical-scale-to-78-px.ipynb,matplotlib
ecg-vertical-scale-to-78-px.ipynb,numpy
anime-studio-members-density.ipynb,pandas
anime-studio-members-density.ipynb,matplotlib
mvp-htmp-final-v3.ipynb,seaborn
mvp-htmp-final-v3.ipynb,pandas
mvp-htmp-final-v3.ipynb,lightgbm
mvp-htmp-final-v3.ipynb,joblib
mvp-htmp-final-v3.ipynb,matplotlib
mvp-htmp-final-v3.ipynb,numpy
capstoneproject.ipynb,pandas
capstoneproject.ipynb,numpy
student.ipynb,seaborn
student.ipynb,pandas
student.ipynb,matplotlib
student.ipynb,numpy
multi-seed-meta-stacker-pipeline.ipynb,seaborn
multi-seed-meta-stacker-pipeline.ipynb,pandas
multi-seed-meta-stacker-pipeline.ipynb,xgboost
multi-seed-meta-stacker-pipeline.ipynb,category_encoders
multi-seed-meta-stacker-pipeline.ipynb,scikit-learn
multi-seed-meta-stacker-pipeline.ipynb,copy
multi-seed-meta-stacker-pipeline.ipynb,catboost
multi-seed-meta-stacker-pipeline.ipynb,lightgbm
multi-seed-meta-stacker-pipeline.ipynb,matplotlib
multi-seed-meta-stacker-pipeline.ipynb,scipy
multi-seed-meta-stacker-pipeline.ipynb,numpy
